sample	unit	library	flowcell	platform	lane	sample_id	fq1	fq2	kb1	kb2
C116990	2	CKDN230016995-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C116990	wholeCRCTdata/C116990_CKDN230016995-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C116990_CKDN230016995-1A_HCM23DSX7_L1_2.fq.gz	8893768	9498037
C116991	1	CKDN230016996-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C116991	wholeCRCTdata/C116991_CKDN230016996-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C116991_CKDN230016996-1A_HCVG2DSX7_L1_2.fq.gz	6053593	6540404
C116991	2	CKDN230016996-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C116991	wholeCRCTdata/C116991_CKDN230016996-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C116991_CKDN230016996-1A_HCM23DSX7_L1_2.fq.gz	8423805	9184263
C137404	1	CKDN230016997-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C137404	wholeCRCTdata/C137404_CKDN230016997-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C137404_CKDN230016997-1A_HCVG2DSX7_L1_2.fq.gz	5617230	6010876
C137404	2	CKDN230016997-1A	HCM23DSX7	ILLUMINA	3	HCM23DSX7.3.C137404	wholeCRCTdata/C137404_CKDN230016997-1A_HCM23DSX7_L3_1.fq.gz	wholeCRCTdata/C137404_CKDN230016997-1A_HCM23DSX7_L3_2.fq.gz	9090663	9742962
C137405	1	CKDN230016998-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C137405	wholeCRCTdata/C137405_CKDN230016998-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C137405_CKDN230016998-1A_HCVG2DSX7_L1_2.fq.gz	4598918	4894103
C137405	2	CKDN230016998-1A	HCM23DSX7	ILLUMINA	3	HCM23DSX7.3.C137405	wholeCRCTdata/C137405_CKDN230016998-1A_HCM23DSX7_L3_1.fq.gz	wholeCRCTdata/C137405_CKDN230016998-1A_HCM23DSX7_L3_2.fq.gz	11422044	12150532
C146087	1	CKDN230016999-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C146087	wholeCRCTdata/C146087_CKDN230016999-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C146087_CKDN230016999-1A_HCVG2DSX7_L1_2.fq.gz	6521445	6875187
C146087	2	CKDN230016999-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C146087	wholeCRCTdata/C146087_CKDN230016999-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C146087_CKDN230016999-1A_HCM23DSX7_L1_2.fq.gz	9050934	9590168
C146088	1	CKDN230017000-1A	HCVG2DSX7	ILLUMINA	1	HCVG2DSX7.1.C146088	wholeCRCTdata/C146088_CKDN230017000-1A_HCVG2DSX7_L1_1.fq.gz	wholeCRCTdata/C146088_CKDN230017000-1A_HCVG2DSX7_L1_2.fq.gz	7127992	7582539
C146088	2	CKDN230017000-1A	HCM22DSX7	ILLUMINA	1	HCM22DSX7.1.C146088	wholeCRCTdata/C146088_CKDN230017000-1A_HCM22DSX7_L1_1.fq.gz	wholeCRCTdata/C146088_CKDN230017000-1A_HCM22DSX7_L1_2.fq.gz	481217	515623
C146088	3	CKDN230017000-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C146088	wholeCRCTdata/C146088_CKDN230017000-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C146088_CKDN230017000-1A_HCM23DSX7_L1_2.fq.gz	5066342	5438424
C153862	1	CKDN230017001-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C153862	wholeCRCTdata/C153862_CKDN230017001-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C153862_CKDN230017001-1A_HCM23DSX7_L1_2.fq.gz	3633322	3855036
C153862	2	CKDN230017001-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C153862	wholeCRCTdata/C153862_CKDN230017001-1A_HCVG2DSX7_L2_1.fq.gz	wholeCRCTdata/C153862_CKDN230017001-1A_HCVG2DSX7_L2_2.fq.gz	9825099	10519406
C153863	1	CKDN230017002-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C153863	wholeCRCTdata/C153863_CKDN230017002-1A_HCVG2DSX7_L2_1.fq.gz	wholeCRCTdata/C153863_CKDN230017002-1A_HCVG2DSX7_L2_2.fq.gz	21222445	23177170
C164587	1	CKDN230017003-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C164587	wholeCRCTdata/C164587_CKDN230017003-1A_HCVG2DSX7_L2_1.fq.gz	wholeCRCTdata/C164587_CKDN230017003-1A_HCVG2DSX7_L2_2.fq.gz	6464771	7008776
C164587	2	CKDN230017003-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C164587	wholeCRCTdata/C164587_CKDN230017003-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C164587_CKDN230017003-1A_HCM23DSX7_L1_2.fq.gz	7278906	7821944
C164589	1	CKDN230017004-1A	HCVG2DSX7	ILLUMINA	2	HCVG2DSX7.2.C164589	wholeCRCTdata/C164589_CKDN230017004-1A_HCVG2DSX7_L2_1.fq.gz	wholeCRCTdata/C164589_CKDN230017004-1A_HCVG2DSX7_L2_2.fq.gz	8313133	9022661
C164589	2	CKDN230017004-1A	HCM22DSX7	ILLUMINA	1	HCM22DSX7.1.C164589	wholeCRCTdata/C164589_CKDN230017004-1A_HCM22DSX7_L1_1.fq.gz	wholeCRCTdata/C164589_CKDN230017004-1A_HCM22DSX7_L1_2.fq.gz	1252424	1348732
C164589	3	CKDN230017004-1A	HCM23DSX7	ILLUMINA	1	HCM23DSX7.1.C164589	wholeCRCTdata/C164589_CKDN230017004-1A_HCM23DSX7_L1_1.fq.gz	wholeCRCTdata/C164589_CKDN230017004-1A_HCM23DSX7_L1_2.fq.gz	2018059	2175047
